,Vmag,Plx,ePlx,BV,eBV,dist,Vabs
1779.0,8.59,22.53,0.91,0.769,0.016,44.3852640923,5.35380595862
1803.0,6.39,49.05,0.91,0.659,0.004,20.3873598369,4.84319505858
1813.0,7.57,24.68,0.9,0.639,0.009,40.5186385737,4.53172577681
1837.0,8.74,44.97,1.15,1.075,0.003,22.2370469202,7.00461443784
1892.0,6.57,18.64,0.69,0.38,0.005,53.6480686695,2.92222954009
1936.0,7.92,55.53,1.08,0.94,0.01,18.0082838106,6.64263836736
1954.0,7.27,36.15,0.8,0.681,0.007,27.6625172891,5.06054150815
1955.0,6.81,28.91,0.73,0.596,0.005,34.5901072293,4.11524045835
1987.0,7.52,23.69,1.08,0.629,0.015,42.2119037569,4.39282530361
2021.0,2.82,133.78,0.51,0.618,0.008,7.47495888773,3.45195595808
2072.0,3.93,42.51,0.69,0.175,0.008,23.5238767349,2.07245552484
2081.0,2.4,42.14,0.78,1.083,0.016,23.7304224015,0.52347265636
2120.0,10.52,61.39,1.51,1.459,0.021,16.2892979313,9.4604881669
2235.0,6.05,27.51,0.86,0.447,0.005,36.3504180298,3.24745295195
2237.0,6.44,31.01,0.87,0.594,0.002,32.2476620445,3.89750883119
2337.0,6.15,23.62,0.87,0.388,0.011,42.3370025402,3.01639946639
2355.0,5.2,17.62,0.86,0.271,0.005,56.7536889898,1.43002952038
2381.0,5.17,18.08,0.9,0.128,0.004,55.3097345133,1.4559921307
2383.0,5.67,22.19,0.67,0.367,0.003,45.0653447499,2.40078651116
2397.0,9.22,29.34,1.18,0.93,0.015,34.0831629175,6.55730054754
2422.0,6.18,25.37,0.54,0.883,0.004,39.4166338195,3.20160233611
2426.0,10.63,36.36,1.45,1.359,0.02,27.502750275,8.43311937275
2453.0,7.37,23.95,0.66,0.504,0.008,41.7536534447,4.26652758875
2472.0,4.76,18.97,0.64,0.018,0.004,52.7148128624,1.15033665444
2484.0,4.36,23.35,0.52,-0.064,0.009,42.8265524625,1.20143442451
2540.0,9.65,38.85,1.1,1.367,0.004,25.74002574,7.59695511568
2578.0,5.07,21.52,0.49,0.038,0.004,46.468401487,1.73421133497
2663.0,6.41,27.63,1.06,0.617,0.004,36.1925443359,3.61690442458
2710.0,6.9,24.09,0.88,0.481,0.015,41.5110004151,3.80918399999
2711.0,5.57,39.03,0.62,0.472,0.012,25.6213169357,3.52699275641
2712.0,7.38,21.2,0.87,0.549,0.014,47.1698113208,4.01167930464
2729.0,9.56,21.78,1.01,1.05,0.02,45.9136822773,6.2502893771
2742.0,8.02,34.52,1.04,0.87,0.013,28.9687137891,5.71035393522
2743.0,8.55,34.04,0.86,0.854,0.006,29.3772032902,6.20994775706
2760.0,7.37,22.87,1.0,0.602,0.009,43.72540446,4.16633082303
2762.0,5.2,47.51,1.15,0.567,0.008,21.0482003789,3.5839251521
2787.0,5.94,17.97,0.74,0.444,0.006,55.6483027268,2.21274038554
2790.0,7.45,34.3,0.89,0.726,0.002,29.1545189504,5.12647060021
2802.0,5.51,27.61,0.77,0.461,0.002,36.2187613184,2.7153320332
2832.0,6.32,26.59,0.85,0.517,0.005,37.6081233546,3.44359168666
2841.0,6.91,16.71,0.63,0.368,0.016,59.8444045482,3.02488224947
2843.0,6.72,21.19,0.92,0.466,0.007,47.1920717319,3.35065478355
2847.0,7.77,19.45,0.96,0.563,0.015,51.4138817481,4.21459802831
2848.0,8.4,23.21,1.15,0.78,0.015,43.0848772081,5.22837570228
2852.0,6.06,20.12,0.91,0.297,0.003,49.7017892644,2.57813988192
2888.0,6.79,22.79,0.73,0.639,0.003,43.8788942519,3.5787216259
2941.0,5.57,64.38,1.4,0.715,0.004,15.5327741535,4.61375486175
2944.0,6.99,22.29,0.84,0.723,0.001,44.8631673396,3.7305503424
2981.0,7.53,20.92,0.97,0.463,0.009,47.8011472275,4.13280840098
3006.0,7.11,24.8,0.6,0.554,0.015,40.3225806452,4.08225840413
3008.0,10.48,43.4,1.94,1.424,0.02,23.0414746544,8.66744864756
3010.0,7.43,16.35,0.66,0.482,0.014,61.1620795107,3.49758878498
3031.0,4.34,19.34,0.76,0.871,0.003,51.7063081696,0.772282348735
3053.0,7.74,26.42,0.61,0.754,0.005,37.8501135503,4.84966406639
3086.0,7.34,21.79,0.88,0.633,0.007,45.8926112896,4.03128615123
3093.0,5.88,90.03,0.72,0.85,0.009,11.1074086416,5.65193625072
3119.0,7.43,20.14,0.91,0.538,0.015,49.6524329692,3.95029733109
3132.0,6.38,30.95,0.5,0.551,0.004,32.310177706,3.83330326678
3142.0,6.68,24.12,0.82,0.519,0.006,41.4593698176,3.59188651734
3170.0,5.89,39.26,0.56,0.564,0.016,25.4712175242,3.85975147632
3179.0,2.24,14.27,0.57,1.17,0.0,70.0770847933,-1.98788013443
3185.0,6.14,35.02,0.74,0.718,0.01,28.5551113649,3.86158070874
3203.0,7.02,38.65,1.1,0.62,0.015,25.873221216,4.95574749127
3206.0,7.36,57.9,0.98,0.937,0.017,17.2711571675,6.17339281864
3210.0,7.37,21.91,0.82,0.539,0.006,45.6412596988,4.0732118878
3236.0,6.52,29.99,0.83,0.528,0.007,33.3444481494,3.9048823288
3261.0,10.58,50.29,1.93,1.432,0.01,19.8846689203,9.0874081781
