,Vmag,Plx,ePlx,BV,eBV,dist,Vabs
19655.0,9.73,38.64,1.36,1.216,0.005,25.8799171843,7.66518558872
19658.0,8.73,16.98,0.77,0.663,0.017,58.8928150766,4.87968842954
19719.0,5.29,27.04,0.9,0.366,0.008,36.9822485207,2.45003343635
19739.0,10.8,28.84,1.44,1.424,0.02,34.6740638003,8.09997628024
19758.0,6.77,22.27,0.64,0.577,0.002,44.9034575662,3.50860108517
19767.0,6.74,27.98,1.18,0.677,0.004,35.739814153,3.97423855078
19773.0,8.06,13.52,0.63,0.501,0.001,73.9644970414,3.71488345803
19780.0,3.33,19.98,0.45,0.915,0.006,50.0500500501,-0.16702258055
19796.0,7.11,21.08,0.97,0.514,0.008,47.4383301708,3.7293530327
19805.0,5.45,12.21,0.48,1.106,0.004,81.9000819001,0.883578319724
19841.0,8.19,37.87,0.8,0.84,0.02,26.4061262213,6.0814765256
19849.0,4.43,198.24,0.84,0.82,0.0,5.04439063761,5.91595644516
19855.0,6.94,47.86,1.15,0.68,0.01,20.8942749687,5.33986347139
19859.0,6.32,47.2,1.08,0.57,0.01,21.186440678,4.68970999317
19861.0,8.71,35.81,1.28,1.012,0.008,27.9251605697,6.48002160506
19875.0,8.92,20.47,0.85,0.764,0.013,48.8519785051,5.47558921331
19877.0,6.31,22.51,0.82,0.4,0.015,44.4247001333,3.071877475
19884.0,7.64,76.46,0.63,1.115,0.015,13.0787339786,7.05717146842
19893.0,4.26,49.26,0.5,0.312,0.008,20.3004466098,2.72247203752
19911.0,7.5,28.69,1.24,0.661,0.015,34.8553502963,4.78865274123
19921.0,4.44,54.84,0.5,1.078,0.005,18.234865062,3.13548723059
19925.0,8.07,24.81,0.98,0.669,0.015,40.3063280935,5.04313382136
19930.0,8.25,39.08,1.16,0.918,0.019,25.5885363357,6.20977277523
19981.0,9.77,30.56,1.52,1.23,0.015,32.722513089,7.19576674952
19990.0,4.93,34.87,0.8,0.259,0.007,28.677946659,2.64225973688
20042.0,3.55,18.27,0.55,-0.108,0.002,54.7345374932,-0.141307263237
20048.0,8.89,25.63,0.98,1.052,0.02,39.0167772142,5.93374303092
20052.0,7.53,17.96,0.6,0.629,0.017,55.6792873051,3.80153166166
20074.0,7.75,13.42,0.6,0.466,0.006,74.5156482861,3.38876257916
20087.0,5.64,18.25,0.82,0.277,0.004,54.7945205479,1.94631434396
20109.0,6.08,13.49,0.52,0.489,0.005,74.1289844329,1.73005974836
20161.0,5.33,14.1,0.51,1.066,0.001,70.9219858156,1.07609556328
20199.0,8.26,22.45,0.78,0.682,0.015,44.5434298441,5.0160817267
20215.0,6.85,23.27,1.14,0.509,0.015,42.9737859905,3.68398191643
20218.0,7.84,27.88,0.96,0.673,0.008,35.8680057389,5.06646384713
20219.0,5.58,22.31,0.92,0.283,0.008,44.8229493501,2.32249785142
20237.0,7.46,22.27,0.93,0.56,0.014,44.9034575662,4.19860108517
20255.0,6.11,21.12,0.77,0.404,0.006,47.3484848485,2.73346956931
20261.0,5.26,21.2,0.99,0.225,0.008,47.1698113208,1.89167930464
20263.0,6.15,15.83,0.77,0.901,0.002,63.1711939356,2.14740457431
20277.0,9.36,23.6,0.91,1.003,0.002,42.3728813559,6.22456001485
20284.0,6.15,21.8,0.85,0.456,0.011,45.871559633,2.84228246802
20297.0,5.78,18.61,0.49,0.359,0.007,53.7345513165,2.12873186565
20302.0,10.69,35.72,1.52,1.385,0.009,27.9955207167,8.45455725108
20325.0,7.5,17.08,0.6,0.473,0.015,58.5480093677,3.66243933176
20349.0,6.79,19.55,0.89,0.434,0.015,51.1508951407,3.24573380866
20350.0,6.8,19.83,0.89,0.441,0.014,50.4286434695,3.28661357103
20375.0,7.53,18.16,0.88,0.569,0.012,55.0660792952,3.82557922093
20385.0,7.95,13.67,0.68,0.456,0.01,73.1528895391,3.62884257284
20395.0,7.02,19.51,0.88,0.616,0.008,51.2557662737,3.47128634697
20400.0,5.72,21.87,0.96,0.315,0.008,45.7247370828,2.41924391519
20455.0,3.77,21.29,0.93,0.983,0.01,46.9704086426,0.410878307192
20478.0,7.82,24.9,0.87,0.627,0.005,40.1606425703,4.80099673548
20484.0,5.64,21.17,0.8,0.31,0.006,47.2366556448,2.2686042901
20491.0,7.18,20.04,0.89,0.462,0.009,49.9001996008,3.68948858598
20524.0,8.38,21.22,0.94,0.701,0.002,47.1253534402,5.01372689783
20542.0,4.8,22.36,0.88,0.154,0.007,44.7227191413,1.54735899607
20552.0,6.28,36.92,0.84,0.659,0.004,27.0855904659,4.11630846177
20557.0,7.13,24.47,1.06,0.518,0.014,40.86636698,4.07316984676
20561.0,7.06,15.99,0.62,0.472,0.007,62.5390869293,3.07924231873
20586.0,6.87,20.69,1.02,0.456,0.01,48.3325277912,3.44880245333
20591.0,5.77,24.0,0.91,0.4,0.019,41.6666666667,2.67105620856
20606.0,7.69,17.8,0.64,0.722,0.009,56.1797752809,3.94210001154
20614.0,5.97,20.4,0.74,0.378,0.014,49.0196078431,2.51815083713
20625.0,7.89,23.13,0.64,0.65,0.015,43.233895374,4.71087816385
20630.0,6.38,27.0,0.57,0.457,0.004,37.037037037,3.53681882079
20635.0,4.21,21.27,0.8,0.136,0.004,47.0145745181,0.848837449514
20638.0,7.79,24.04,0.74,0.629,0.015,41.5973377704,4.69467231665
20641.0,5.27,22.65,0.84,0.25,0.01,44.1501103753,2.04534103174
20648.0,4.3,22.05,0.77,0.049,0.007,45.3514739229,1.01704296902
20661.0,6.44,21.47,0.97,0.509,0.005,46.5766185375,3.09916022218
20677.0,7.86,23.09,0.62,0.65,0.015,43.3087916847,4.67711966459
20693.0,7.36,22.03,0.9,0.509,0.01,45.3926463913,4.07507248575
20711.0,4.28,21.07,0.8,0.263,0.006,47.460844803,0.898322678041
20712.0,7.36,21.54,0.97,0.557,0.013,46.4252553389,4.02622849481
20713.0,4.48,20.86,0.84,0.262,0.011,47.9386385427,1.07657152045
20723.0,7.8,25.28,1.08,0.75,0.01,39.5569620253,4.81388534805
20727.0,6.81,18.89,0.66,0.386,0.006,52.9380624669,3.19115978961
20737.0,8.78,25.66,1.2,0.841,0.018,38.9711613406,5.82628326019
20781.0,6.1,30.82,0.53,0.47,0.006,32.4464633355,3.54416317191
20800.0,6.72,33.52,0.86,0.711,0.006,29.8329355609,4.34652004979
20811.0,7.14,14.99,0.64,0.591,0.007,66.7111407605,3.01900816424
20815.0,7.41,21.83,1.01,0.537,0.015,45.8085203848,4.10526867855
20826.0,7.49,21.18,1.04,0.56,0.007,47.2143531634,4.11962977886
20842.0,5.72,20.85,0.86,0.27,0.015,47.9616306954,2.31553029655
20885.0,3.84,20.66,0.85,0.952,0.004,48.4027105518,0.415651585918
20889.0,3.53,21.04,0.82,1.014,0.006,47.5285171103,0.145228677409
20894.0,3.4,21.89,0.83,0.179,0.004,45.6829602558,0.10122880784
20901.0,5.02,20.33,0.84,0.215,0.003,49.1883915396,1.56068689319
20935.0,7.02,23.25,1.04,0.526,0.009,43.0107526882,3.85211478613
20998.0,7.68,19.33,0.59,0.711,0.003,51.7330574237,4.11115927014
21008.0,7.09,19.94,0.93,0.47,0.015,50.1504513541,3.58862576988
21010.0,6.51,25.18,0.95,0.722,0.007,39.7140587768,3.51527862886
21029.0,4.78,22.54,0.77,0.17,0.001,44.3655723159,1.54476955855
21036.0,5.4,21.84,0.89,0.263,0.007,45.7875457875,2.09626317016
21039.0,5.47,22.55,1.09,0.258,0.003,44.3458980044,2.23573273107
21053.0,6.5,24.28,0.79,0.428,0.002,41.1861614498,3.42624341202
21066.0,7.03,22.96,0.99,0.472,0.013,43.5540069686,3.83485941863
21079.0,8.26,19.87,0.78,0.64,0.015,50.3271263211,4.75098933555
21103.0,8.55,27.77,1.06,0.803,0.019,36.0100828232,5.76787939875
21143.0,7.16,17.95,0.84,0.484,0.006,55.7103064067,3.43032226457
21152.0,6.37,23.13,0.92,0.42,0.014,43.233895374,3.19087816385
21158.0,7.08,25.55,0.92,0.641,0.009,39.1389432485,4.11695452235
21165.0,7.83,23.97,0.69,0.63,0.009,41.7188151856,4.72834017017
21167.0,6.8,23.09,0.94,0.47,0.006,43.3087916847,3.61711966459
21172.0,7.61,27.05,1.02,0.683,0.01,36.9685767098,4.77083634721
21187.0,8.54,16.37,0.7,0.561,0.015,61.0873549175,4.61024339706
21223.0,8.74,39.93,0.93,0.99,0.015,25.0438266967,6.74649655097
21248.0,4.49,26.22,0.71,0.972,0.022,38.1388253242,1.58316343677
21253.0,5.79,21.74,0.51,1.028,0.002,45.9981600736,2.47629769875
21267.0,6.62,22.8,0.98,0.429,0.012,43.8596491228,3.409674235
21276.0,7.75,36.32,1.07,0.759,0.015,27.5330396476,5.55072919925
21281.0,3.3,18.56,0.46,-0.079,0.015,53.8793103448,-0.357110140586
21284.0,8.81,44.52,0.8,1.106,0.002,22.4618149146,7.05277577831
21286.0,9.14,17.25,0.8,0.724,0.024,57.9710144928,5.32394549705
21327.0,7.61,35.88,0.72,0.776,0.002,27.8706800446,5.38426217186
21368.0,8.61,18.47,0.82,0.629,0.015,54.1418516513,4.9423344772
21381.0,6.69,18.62,0.83,0.497,0.004,53.7056928034,3.03989838323
21383.0,7.88,26.45,1.15,0.632,0.015,37.8071833648,4.99212838186
21402.0,4.25,21.68,0.82,0.184,0.011,46.1254612546,0.930296389332
21421.0,0.87,50.09,0.95,1.538,0.008,19.9640646836,-0.631244841552
21431.0,7.29,16.32,0.56,0.433,0.007,61.2745098039,3.35360077209
21433.0,8.32,34.23,1.45,0.902,0.007,29.2141396436,5.99203449569
21436.0,7.58,29.69,0.93,0.685,0.016,33.6813742001,4.94305098798
21456.0,7.2,18.36,0.64,0.401,0.009,54.4662309368,3.51936338433
21455.0,9.48,23.01,0.85,0.865,0.004,43.4593654933,6.28958309334
21474.0,6.64,22.99,0.95,0.442,0.018,43.4971726838,3.44769485635
21482.0,8.1,56.02,1.21,1.104,0.006,17.850767583,6.84171552244
21539.0,10.17,28.61,1.31,1.0,0.02,34.9528137015,7.45258928903
21547.0,5.22,33.6,0.91,0.283,0.006,29.7619047619,2.85169638695
21553.0,8.62,98.12,1.2,1.423,0.011,10.1916021199,8.57878769767
21556.0,10.34,90.23,1.81,1.505,0.017,11.0827884296,10.1167547868
21571.0,7.76,33.84,0.91,0.71,0.01,29.5508274232,5.40715177183
21588.0,5.78,21.96,1.04,0.312,0.005,45.5373406193,2.48816167889
21589.0,4.27,21.79,0.79,0.122,0.005,45.8926112896,0.961286151231
21637.0,7.51,22.6,0.91,0.576,0.009,44.2477876106,4.28054219574
21670.0,5.38,19.44,0.86,0.257,0.009,51.4403292181,1.82348130295
21673.0,5.08,21.49,0.96,0.141,0.005,46.533271289,1.74118207746
21683.0,4.67,20.51,0.82,0.147,0.008,48.7567040468,1.22982830184
21685.0,5.46,16.42,0.69,1.054,0.004,60.9013398295,1.53686576392
21698.0,8.86,22.34,1.07,0.91,0.015,44.7627573859,5.6054158439
21731.0,7.76,26.42,0.66,0.747,0.003,37.8501135503,4.86966406639
21756.0,6.53,32.3,0.98,0.677,0.007,30.959752322,4.07601261166
21770.0,4.44,49.67,0.53,0.342,0.011,20.1328769881,2.92047079998
21778.0,7.74,24.6,0.84,0.621,0.001,40.6504065041,4.69467553552
21818.0,8.09,74.13,1.24,1.092,0.005,13.4898151895,7.43997000061
21821.0,8.15,18.34,0.66,0.528,0.011,54.5256270447,4.46699665667
21832.0,7.29,35.31,1.07,0.633,0.01,28.3205890683,5.02948858782
21843.0,6.77,14.44,0.56,0.745,0.015,69.2520775623,2.56783596617
21847.0,5.97,32.03,0.91,0.593,0.006,31.2207305651,3.49778469332
21850.0,8.41,18.28,0.77,0.773,0.015,54.704595186,4.71988095699
21861.0,5.04,36.16,0.6,0.391,0.017,27.6548672566,2.83114210902
21865.0,9.98,32.67,1.27,1.199,0.017,30.6091215182,7.55074567238
21889.0,8.86,17.14,0.77,0.812,0.002,58.3430571762,5.03005408794
21914.0,5.3,9.5,0.46,0.977,0.001,105.263157895,0.188618026444
21921.0,8.29,27.55,1.04,0.71,0.011,36.2976406534,5.49060801594
21934.0,9.98,29.06,1.05,1.197,0.004,34.4115622849,7.29647804981
21960.0,7.61,36.74,0.6,0.746,0.002,27.2182906913,5.43569575985
21961.0,6.18,20.03,0.71,0.544,0.003,49.9251123315,2.68840474647
21988.0,8.0,44.74,0.99,0.907,0.014,22.3513634332,6.2534798988
22006.0,6.9,23.18,0.56,0.498,0.004,43.1406384814,3.72556715814
22040.0,5.28,14.66,0.51,0.206,0.005,68.2128240109,1.11066985153
22044.0,5.39,20.73,0.88,0.251,0.001,48.2392667631,1.97299651047
22052.0,7.54,21.31,0.97,0.541,0.015,46.9263256687,4.18291724857
22121.0,8.89,33.68,0.87,0.955,0.004,29.6912114014,6.52686041414
22122.0,7.58,48.9,0.64,0.875,0.019,20.4498977505,6.02654429562
22152.0,6.46,31.03,0.56,0.512,0.008,32.2268772156,3.91890887792
22175.0,7.81,31.11,1.07,0.679,0.015,32.144005143,5.27450005554
22192.0,6.18,17.4,0.68,0.189,0.004,57.4712643678,2.38274624141
22221.0,7.24,26.26,1.04,0.56,0.004,38.08073115,4.33647360877
22229.0,7.72,15.34,0.61,0.581,0.001,65.1890482399,3.64912679806
22263.0,5.49,75.1,0.8,0.632,0.006,13.3155792277,4.86819968502
22281.0,9.28,26.35,0.95,0.974,0.001,37.9506641366,6.38390309774
22287.0,5.29,20.12,0.79,0.246,0.003,49.7017892644,1.80813988192
22288.0,9.53,38.3,1.16,1.135,0.015,26.1096605744,7.44599386984
22295.0,8.14,16.55,0.62,0.538,0.015,60.4229607251,4.23398999056
22300.0,6.32,19.6,0.82,0.32,0.005,51.0204081633,2.78128035678
22319.0,6.51,21.03,0.86,0.846,0.007,47.5511174513,3.12419636343
22325.0,5.76,24.06,0.75,0.537,0.008,41.5627597672,2.66647811502
22336.0,5.77,37.73,0.89,0.631,0.003,26.5041081368,3.653434026
22349.0,6.95,32.51,0.99,0.618,0.002,30.7597662258,4.51008484748
22361.0,5.96,21.92,0.57,0.283,0.004,45.6204379562,2.66420274906
22387.0,7.74,19.42,0.75,0.528,0.009,51.4933058702,4.18124612786
22395.0,7.88,23.28,1.08,0.676,0.01,42.9553264605,4.71491487989
22422.0,7.72,19.68,0.96,0.578,0.009,50.8130081301,4.19012547048
22431.0,7.64,34.1,1.06,0.846,0.002,29.3255131965,5.30377189496
22439.0,6.27,28.28,0.8,0.456,0.023,35.360678925,3.52739702562
22449.0,3.19,124.6,0.95,0.484,0.003,8.02568218299,3.66759021162
22451.0,7.49,55.59,0.71,0.901,0.011,17.9888469149,6.21498337019
22488.0,6.06,19.11,0.53,0.408,0.003,52.3286237572,2.46630343528
22500.0,7.18,17.42,0.61,0.526,0.015,57.4052812859,3.38524075336
22504.0,8.14,23.2,0.66,0.614,0.012,43.1034482759,4.96743992445
22505.0,7.73,23.64,0.99,0.74,0.014,42.3011844332,4.59823736105
22506.0,8.94,18.89,0.85,0.737,0.021,52.9380624669,5.32115978961
22524.0,7.29,19.3,0.95,0.536,0.011,51.8134715026,3.71778654504
22531.0,5.58,26.97,1.32,0.341,0.004,37.078235076,2.73440473226
22562.0,9.02,27.1,0.8,0.885,0.015,36.9003690037,6.18484645437
22563.0,6.81,18.02,0.51,0.615,0.003,55.4938956715,3.08877393322
22565.0,5.08,17.27,0.82,0.214,0.007,57.9038795599,1.26646168784
22576.0,6.78,30.51,0.94,0.717,0.01,32.7761389708,4.20221103821
22589.0,8.08,18.11,0.86,0.586,0.015,55.2181115406,4.36959225157
22596.0,6.94,33.44,1.12,0.586,0.014,29.9043062201,4.56133134383
22602.0,8.15,31.45,0.86,0.766,0.013,31.7965023847,5.63810324891
22607.0,6.3,23.91,1.04,0.502,0.007,41.8235048097,3.19289788058
22611.0,6.68,16.02,0.62,0.533,0.006,62.4219725343,2.70331255874
22615.0,8.09,23.94,0.95,0.77,0.013,41.7710944027,4.98562073035
22627.0,11.94,82.52,3.99,1.59,0.015,12.1182743577,11.5227960965
22646.0,8.59,30.39,0.78,0.89,0.003,32.9055610398,6.0036535004
22688.0,7.51,19.75,0.94,0.639,0.015,50.6329113924,3.98783549981
22703.0,7.1,22.08,0.98,0.74,0.007,45.2898550725,3.81999534529
22715.0,8.78,37.09,1.37,1.019,0.002,26.9614451335,6.62628416664
22717.0,6.28,30.74,0.51,0.521,0.007,32.5309043591,3.71851931582
22762.0,10.9,80.89,1.97,1.547,0.013,12.3624675485,10.4394741771
22776.0,7.77,35.14,1.12,0.747,0.017,28.4575981787,5.4990087858
22787.0,7.6,38.52,0.76,0.792,0.003,25.9605399792,5.52843139226
22844.0,6.11,32.38,0.52,0.442,0.008,30.8832612724,3.66138422209
22845.0,4.64,27.04,0.94,0.085,0.004,36.9822485207,1.80003343635
22905.0,7.49,26.31,0.82,0.606,0.015,38.0083618396,4.59060424043
22906.0,7.98,28.08,1.13,0.8,0.015,35.6125356125,5.22198551729
22907.0,8.13,55.67,0.9,1.072,0.01,17.9629962278,6.85810610653
22919.0,7.02,27.78,0.9,0.561,0.01,35.9971202304,4.23866120701
22933.0,9.05,16.61,0.76,0.769,0.021,60.2046959663,5.15184816226
22940.0,8.43,25.5,1.27,0.837,0.005,39.2156862745,5.46270090217
22949.0,6.33,23.15,0.88,0.351,0.008,43.1965442765,3.15275497677
22953.0,8.26,19.05,0.69,0.77,0.002,52.4934383202,4.65947490006
22961.0,8.77,27.07,0.99,0.985,0.018,36.9412633912,5.93244127885
23046.0,8.36,13.91,0.65,0.477,0.003,71.8907260963,4.07663564996
23080.0,8.15,30.22,1.13,0.75,0.004,33.0906684315,5.55147230002
23105.0,7.2,29.85,1.04,0.705,0.011,33.5008375209,4.57472167733
23128.0,7.94,23.13,0.92,0.581,0.013,43.233895374,4.76087816385
23140.0,10.97,51.51,2.45,1.432,0.014,19.4137060765,9.5294577494
23147.0,9.8,60.48,1.56,1.413,0.01,16.5343915344,8.70805891247
23157.0,8.75,16.17,0.77,0.717,0.017,61.8429189858,4.79355009953
23166.0,5.65,23.17,0.83,0.447,0.004,43.1592576608,2.47463016895
23179.0,4.93,20.5,0.94,0.037,0.011,48.7804878049,1.48876930528
23185.0,7.11,13.8,0.67,0.473,0.015,72.4637681159,2.80939543201
23214.0,6.75,23.09,0.83,0.45,0.015,43.3087916847,3.56711966459
23248.0,9.0,25.63,1.17,0.796,0.003,39.0167772142,6.04374303092
23259.0,8.04,26.02,1.15,0.68,0.015,38.4319754035,5.11653646113
23286.0,6.75,28.49,1.34,0.673,0.008,35.1000351,4.0234622462
23296.0,6.31,20.17,0.87,0.293,0.007,49.5785820526,2.83352949106
23311.0,6.22,113.46,0.82,1.049,0.011,8.81367882954,6.49421389614
23314.0,8.11,15.93,0.75,0.524,0.015,62.7746390458,4.12107887901
23318.0,7.71,20.08,0.69,0.56,0.01,49.8007968127,4.22381854236
23362.0,4.91,15.6,0.73,-0.047,0.002,64.1025641026,0.875622991772
23380.0,6.03,27.1,0.8,0.448,0.003,36.9003690037,3.19484645437
23413.0,7.53,17.48,0.74,0.482,0.001,57.2082379863,3.74270714149
23431.0,8.19,34.88,1.46,0.72,0.015,28.6697247706,5.9028823813
23437.0,7.02,44.94,0.58,0.636,0.015,22.2518914108,5.28316534042
23443.0,7.51,26.0,1.17,0.615,0.013,38.4615384615,4.58486673985
23452.0,8.31,117.38,1.81,1.43,0.011,8.5193388993,8.65797052589
23482.0,5.37,38.19,0.51,0.421,0.003,26.1848651479,3.27974829187
23484.0,6.2,35.78,0.62,0.509,0.004,27.9485746227,3.96820168116
23497.0,4.62,20.01,0.91,0.155,0.005,49.9750124938,1.12623544318
23512.0,11.71,107.86,2.95,1.661,0.02,9.27127758205,11.8743020798
23518.0,9.96,71.35,1.76,1.389,0.015,14.0154169587,9.22696988725
23530.0,7.63,31.76,1.05,0.66,0.003,31.4861460957,5.13940246878
23532.0,7.93,31.92,0.95,0.71,0.003,31.328320802,5.45031441339
23553.0,8.38,18.6,0.7,0.637,0.013,53.7634408602,4.72756472109
23554.0,5.61,16.65,0.64,0.094,0.003,60.0600600601,1.71707118921
23555.0,6.3,31.93,0.57,0.528,0.005,31.318509239,3.8209945927
23585.0,6.51,17.52,0.84,0.223,0.007,57.0776255708,2.72767050916
23627.0,7.2,23.59,0.89,0.618,0.008,42.3908435778,4.06363970443
23668.0,5.71,13.58,0.64,1.166,0.002,73.6377025037,1.37449884972
23693.0,4.71,85.83,0.46,0.526,0.011,11.6509379005,4.37819556262
23708.0,8.98,86.76,0.89,1.386,0.012,11.5260488704,8.67159771671
23719.0,8.25,15.73,0.68,0.592,0.004,63.5727908455,4.23364361312
23742.0,7.72,16.73,0.59,0.491,0.015,59.7728631201,3.83747970481
23767.0,3.18,14.87,0.74,-0.148,0.004,67.2494956288,-0.95844515739
23776.0,7.32,27.38,0.82,0.652,0.003,36.523009496,4.50716721899
23783.0,4.98,38.14,0.79,0.343,0.005,26.2191924489,2.88690344355
23786.0,7.74,41.7,1.14,0.804,0.012,23.9808153477,5.84068027487
23816.0,7.04,19.54,0.87,0.506,0.008,51.1770726714,3.49462279691
23818.0,6.47,26.44,0.76,0.648,0.002,37.8214826021,3.58130725407
23824.0,6.8,21.01,0.64,0.573,0.001,47.5963826749,3.41213026203
23831.0,5.97,27.6,0.67,0.606,0.003,36.231884058,3.17454541033
23835.0,4.91,63.02,0.93,0.657,0.012,15.8679784195,3.90739199419
23841.0,7.33,15.05,0.61,0.49,0.003,66.4451827243,3.21768249965
23852.0,6.15,35.34,0.82,0.625,0.003,28.2965478212,3.89133272585
23857.0,7.93,16.43,0.67,0.524,0.009,60.8642726719,4.00818781718
23871.0,5.28,18.8,0.82,0.118,0.005,53.1914893617,1.65078924632
23875.0,2.78,36.71,0.76,0.161,0.003,27.2405339145,0.60392192252
23884.0,7.6,28.38,1.08,0.664,0.003,35.2360817477,4.86506195561
23932.0,10.28,107.3,2.0,1.52,0.013,9.31966449208,10.4329986098
23983.0,5.43,18.54,0.83,0.249,0.01,53.9374325782,1.77054864904
24008.0,7.49,16.51,0.6,0.463,0.015,60.5693519079,3.57873536631
24016.0,6.67,18.79,0.92,0.526,0.009,53.2197977648,3.0396339005
24017.0,6.37,25.27,0.71,0.448,0.004,39.5726157499,3.3830262096
24046.0,6.97,24.88,1.06,0.505,0.006,40.192926045,3.94925188009
24084.0,7.58,12.47,0.54,0.513,0.015,80.1924619086,3.05933226739
24098.0,8.65,17.19,0.75,0.704,0.017,58.1733566027,4.82637938344
24109.0,5.67,21.64,0.87,0.452,0.004,46.2107208872,2.34628628217
24110.0,8.71,17.86,0.82,0.765,0.006,55.9910414334,4.96940727276
24130.0,6.24,20.66,0.84,0.984,0.006,48.4027105518,2.81565158592
24157.0,9.62,20.83,1.02,0.853,0.003,48.007681229,6.21344634974
24162.0,5.89,26.04,0.83,0.462,0.005,38.4024577573,2.96820489948
24176.0,8.12,18.02,0.83,0.708,0.012,55.4938956715,4.39877393322
24186.0,8.86,255.26,0.86,1.543,0.02,3.91757423803,10.8949138245
24205.0,7.0,34.85,1.33,0.588,0.016,28.6944045911,4.71101391217
24210.0,8.04,33.68,1.16,0.799,0.01,29.6912114014,5.67686041414
24221.0,7.03,15.26,0.57,0.431,0.005,65.5307994758,2.94777266809
24243.0,8.89,35.23,1.58,1.01,0.015,28.3848992336,6.62456321591
24329.0,8.98,25.12,1.19,0.738,0.017,39.8089171975,5.98009817533
24332.0,6.48,38.5,0.87,0.542,0.008,25.974025974,4.40730364754
24344.0,7.11,18.94,0.66,0.636,0.001,52.7983104541,3.49689987334
24419.0,7.43,31.78,0.99,0.719,0.011,31.4663310258,4.94076946436
24493.0,6.15,21.77,0.91,0.401,0.007,45.9347726229,2.83929214521
24526.0,7.89,30.9,1.19,0.747,0.011,32.3624595469,5.33979239712
24578.0,7.07,16.3,0.66,0.537,0.006,61.3496932515,3.13093802202
24597.0,8.28,21.26,0.75,0.66,0.013,47.0366886171,4.91781630094
24608.0,0.08,77.29,0.89,0.795,0.019,12.9382843835,-0.47938346351
24629.0,7.47,20.13,0.74,0.475,0.014,49.6770988574,3.98921887444
24658.0,6.96,20.31,0.76,0.458,0.011,49.2368291482,3.49854961702
24679.0,5.48,20.69,0.78,0.932,0.004,48.3325277912,2.05880245333
24681.0,7.31,22.22,1.05,0.661,0.015,45.00450045,4.04372027302
24722.0,9.05,16.0,0.73,0.662,0.002,62.5,5.07059991328
24754.0,8.27,27.03,0.74,0.733,0.014,36.9959304477,5.42923022849
24783.0,9.35,49.34,2.13,1.298,0.001,20.2675314147,7.81599572577
24786.0,5.96,40.11,0.76,0.572,0.006,24.931438544,3.97626330991
24813.0,4.69,79.08,0.9,0.63,0.003,12.6454223571,4.18033330321
24829.0,5.44,27.7,0.5,0.517,0.004,36.1010830325,2.65239884532
24864.0,7.0,26.68,1.18,0.531,0.007,37.4812593703,4.13092912622
24874.0,8.72,41.09,1.26,1.003,0.003,24.3368216111,6.78868070631
24886.0,9.18,28.87,1.17,0.96,0.015,34.6380325598,6.4822339194
24947.0,7.39,21.91,0.63,0.51,0.003,45.6412596988,4.0932118878
24965.0,9.15,20.59,0.8,0.794,0.002,48.5672656629,5.71828173309
25002.0,7.68,26.89,0.96,0.636,0.015,37.1885459279,4.82795401112
25094.0,7.09,34.0,0.86,0.75,0.015,29.4117647059,4.74739458521
25110.0,5.08,47.66,0.52,0.506,0.002,20.9819555183,3.47077019005
25119.0,7.76,50.24,1.52,0.98,0.015,19.9044585987,6.26524815365
25166.0,8.15,24.12,1.17,0.78,0.015,41.4593698176,5.06188651734
25180.0,6.49,19.08,0.74,0.505,0.004,52.4109014675,2.89289185184
25189.0,9.44,29.37,1.46,1.029,0.008,34.0483486551,6.77951973261
25220.0,7.93,69.76,1.5,1.104,0.001,14.3348623853,7.14803235962
25222.0,7.29,22.66,0.96,0.538,0.009,44.1306266549,4.06629952764
25278.0,5.0,68.19,0.94,0.544,0.004,14.6649068778,4.16860345222
25280.0,5.64,14.84,0.72,-0.001,0.004,67.3854447439,1.49716950472
25282.0,5.07,18.93,0.82,0.961,0.006,52.8262017961,1.45575306982
25318.0,8.21,15.13,0.63,0.543,0.011,66.0938532716,4.10919464012
25321.0,8.06,26.81,0.8,0.728,0.003,37.2995151063,5.20148406991
25351.0,7.17,28.14,0.55,0.538,0.004,35.5366027008,4.41662046549
25376.0,7.85,16.8,0.64,0.521,0.001,59.5238095238,3.97654640863
25421.0,7.7,55.76,0.76,0.946,0.004,17.9340028694,6.43161382545
25428.0,1.65,24.89,0.88,-0.13,0.002,40.1767778224,-1.36987551696
25461.0,8.21,19.11,0.75,0.574,0.014,52.3286237572,4.61630343528
25486.0,6.3,37.26,0.84,0.553,0.007,26.8384326355,4.1562142528
25490.0,7.18,17.08,0.73,0.6,0.006,58.5480093677,3.34243933176
25544.0,6.99,51.1,0.52,0.755,0.017,19.5694716243,5.53210450067
25578.0,12.48,115.04,5.22,1.653,0.01,8.6926286509,12.7842443652
25580.0,6.41,29.54,0.91,0.51,0.004,33.8524035206,3.76205245488
25608.0,5.56,11.1,0.52,0.026,0.003,90.0900900901,0.786614893933
25612.0,10.12,32.84,0.99,1.17,0.014,30.4506699147,7.70201574224
25616.0,6.78,28.28,0.81,0.59,0.004,35.360678925,4.03739702562
25623.0,7.65,77.03,0.91,1.113,0.01,12.9819550824,7.08329948931
25647.0,6.88,66.92,0.54,0.83,0.015,14.94321578,6.00777966145
25662.0,6.71,34.55,0.88,0.582,0.002,28.9435600579,4.40224025855
25746.0,6.64,19.45,0.57,0.348,0.008,51.4138817481,3.08459802831
25749.0,7.14,17.88,0.84,0.397,0.009,55.9284116331,3.4018375723
